valorcompra,valormanutencao,portas,pessoas,portamalas,nivelseguranca,classes
4,4,2,2,pequeno,1,inaceitavel
4,4,2,2,pequeno,2,inaceitavel
4,4,2,2,pequeno,3,inaceitavel
4,4,2,2,2,1,inaceitavel
4,4,2,2,2,2,inaceitavel
4,4,2,2,2,3,inaceitavel
4,4,2,2,grande,1,inaceitavel
4,4,2,2,grande,2,inaceitavel
4,4,2,2,grande,3,inaceitavel
4,4,2,4,pequeno,1,inaceitavel
4,4,2,4,pequeno,2,inaceitavel
4,4,2,4,pequeno,3,inaceitavel
4,4,2,4,2,1,inaceitavel
4,4,2,4,2,2,inaceitavel
4,4,2,4,2,3,inaceitavel
4,4,2,4,grande,1,inaceitavel
4,4,2,4,grande,2,inaceitavel
4,4,2,4,grande,3,inaceitavel
4,4,2,5mais,pequeno,1,inaceitavel
4,4,2,5mais,pequeno,2,inaceitavel
4,4,2,5mais,pequeno,3,inaceitavel
4,4,2,5mais,2,1,inaceitavel
4,4,2,5mais,2,2,inaceitavel
4,4,2,5mais,2,3,inaceitavel
4,4,2,5mais,grande,1,inaceitavel
4,4,2,5mais,grande,2,inaceitavel
4,4,2,5mais,grande,3,inaceitavel
4,4,3,2,pequeno,1,inaceitavel
4,4,3,2,pequeno,2,inaceitavel
4,4,3,2,pequeno,3,inaceitavel
4,4,3,2,2,1,inaceitavel
4,4,3,2,2,2,inaceitavel
4,4,3,2,2,3,inaceitavel
4,4,3,2,grande,1,inaceitavel
4,4,3,2,grande,2,inaceitavel
4,4,3,2,grande,3,inaceitavel
4,4,3,4,pequeno,1,inaceitavel
4,4,3,4,pequeno,2,inaceitavel
4,4,3,4,pequeno,3,inaceitavel
4,4,3,4,2,1,inaceitavel
4,4,3,4,2,2,inaceitavel
4,4,3,4,2,3,inaceitavel
4,4,3,4,grande,1,inaceitavel
4,4,3,4,grande,2,inaceitavel
4,4,3,4,grande,3,inaceitavel
4,4,3,5mais,pequeno,1,inaceitavel
4,4,3,5mais,pequeno,2,inaceitavel
4,4,3,5mais,pequeno,3,inaceitavel
4,4,3,5mais,2,1,inaceitavel
4,4,3,5mais,2,2,inaceitavel
4,4,3,5mais,2,3,inaceitavel
4,4,3,5mais,grande,1,inaceitavel
4,4,3,5mais,grande,2,inaceitavel
4,4,3,5mais,grande,3,inaceitavel
4,4,4,2,pequeno,1,inaceitavel
4,4,4,2,pequeno,2,inaceitavel
4,4,4,2,pequeno,3,inaceitavel
4,4,4,2,2,1,inaceitavel
4,4,4,2,2,2,inaceitavel
4,4,4,2,2,3,inaceitavel
4,4,4,2,grande,1,inaceitavel
4,4,4,2,grande,2,inaceitavel
4,4,4,2,grande,3,inaceitavel
4,4,4,4,pequeno,1,inaceitavel
4,4,4,4,pequeno,2,inaceitavel
4,4,4,4,pequeno,3,inaceitavel
4,4,4,4,2,1,inaceitavel
4,4,4,4,2,2,inaceitavel
4,4,4,4,2,3,inaceitavel
4,4,4,4,grande,1,inaceitavel
4,4,4,4,grande,2,inaceitavel
4,4,4,4,grande,3,inaceitavel
